Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
JSG_Y_RMM_450,J2Teo,JSG_Y_RMM_450,Zea mays ssp. mexicana,Mesa_Central,19.891,-101.179,1855
JSG_Y_RMM_457,J2Teo,JSG_Y_RMM_457,Zea mays ssp. parviglumis,Balsas,18.82,-100.916,654
JSG_Y_RMM_458,J2Teo,JSG_Y_RMM_458,Zea mays ssp. parviglumis,Balsas,18.805,-100.946,635
JSG_Y_RMM_463,J2Teo,JSG_Y_RMM_463,Zea mays ssp. mexicana,Chalco,19.422,-101.61,2225
RMM_11,J2Teo,RMM_11,Zea mays ssp. parviglumis,Balsas,19.528,-104.064,1450
RMM_3,J2Teo,RMM_3,Zea mays ssp. parviglumis,Balsas,19.945,-103.995,984
LANTEO001,R2Teo,CIMMYTMA-008753,Zea mays ssp. mexicana,,19.029,-98.821,2338
LANTEO014,R2Teo,CIMMYTMA-008771,Zea mays ssp. mexicana,,20.15,-102.07,1855
LANTEO029,R2Teo,CIMMYTMA-008787,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO030,R2Teo,CIMMYTMA-008788,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO031,R2Teo,CIMMYTMA-008789,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO032,R2Teo,CIMMYTMA-008790,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO033,R2Teo,CIMMYTMA-008791,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO036,R2Teo,CIMMYTMA-008794,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO037,R2Teo,CIMMYTMA-008795,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO038,R2Teo,CIMMYTMA-008796,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO042,R2Teo,CIMMYTMA-008800,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO043,R2Teo,CIMMYTMA-008801,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO045,R2Teo,CIMMYTMA-008803,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO046,R2Teo,CIMMYTMA-008804,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO047,R2Teo,CIMMYTMA-008805,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO050,R2Teo,CIMMYTMA-008808,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO052,R2Teo,CIMMYTMA-008810,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO055,R2Teo,CIMMYTMA-008813,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO058,R2Teo,CIMMYTMA-008816,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO059,R2Teo,CIMMYTMA-008817,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO060,R2Teo,CIMMYTMA-008818,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO065,R2Teo,CIMMYTMA-008823,Zea mays ssp. parv_mex?,,19.53,-98.85,2276
LANTEO093,R2Teo,CIMMYTMA-013544,Zea mays ssp. mexicana,,20.74,-101.93,1726
LANTEO096,R2Teo,CIMMYTMA-013548,Zea mays ssp. mexicana,,20.175,-101.171,1810
LANTEO098,R2Teo,CIMMYTMA-013550,Zea mays ssp. mexicana,,20.085,-101.515,1900
LANTEO103,R2Teo,CIMMYTMA-013561,Zea mays ssp. mexicana,,19.13,-98.77,2484
LANTEO105,R2Teo,CIMMYTMA-013564,Zea mays ssp. mexicana,,19.25,-98.85,2255
LANTEO107,R2Teo,CIMMYTMA-013567,Zea mays ssp. parviglumis,,16.327,-97.042,1094
LANTEO110,R2Teo,CIMMYTMA-013570,Zea mays ssp. mexicana,,19.25,-98.85,2255
LANTEO112,R2Teo,CIMMYTMA-013573,Zea mays ssp. mexicana,,20.099,-101.936,1705
LANTEO115,R2Teo,CIMMYTMA-013576,Zea mays ssp. mexicana,,19.68,-100.5,2020
LANTEO122,R2Teo,CIMMYTMA-013584,Zea mays ssp. parviglumis,,19.184,-100.26,1353
LANTEO123,R2Teo,CIMMYTMA-013585,Zea mays ssp. parviglumis,,19.31,-100.44,1313
LANTEO124,R2Teo,CIMMYTMA-013586,Zea mays ssp. parviglumis,,19.415,-100.835,1570
LANTEO127,R2Teo,CIMMYTMA-014977,Zea mays ssp. mexicana,,19.28,-99.67,2694
LANTEO130,R2Teo,CIMMYTMA-016791,Zea mays ssp. mexicana,,19.07,-97.53,2455
LANTEO136,R2Teo,CIMMYTMA-029060,Zea mays ssp. mexicana,,19.551,-98.863,2267
LANTEO137,R2Teo,CIMMYTMA-029061,Zea mays ssp. mexicana,,19.494,-98.902,2247
LANTEO138,R2Teo,CIMMYTMA-029062,Zea mays ssp. mexicana,,19.491,-98.832,2428
LANTEO147,R2Teo,CIMMYTMA-029072,Zea mays ssp. mexicana,,19.38,-99.52,2580
LANTEO148,R2Teo,CIMMYTMA-029073,Zea mays ssp. mexicana,,19.39,-99.51,2580
LANTEO149,R2Teo,CIMMYTMA-029074,Zea mays ssp. mexicana,,19.16,-99.59,2623
LANTEO150,R2Teo,CIMMYTMA-029075,Zea mays ssp. mexicana,,19.15,-99.62,2713
LANTEO151,R2Teo,CIMMYTMA-029076,Zea mays ssp. mexicana,,19.33,-99.92,2833
